GaPa_NaPa,Average_NewAC_reverse,score,nor,Average_NewSensitivity,score,nor,Average_NewExposure,score,nor,Average_HazardV2,score,nor,Vulnerability,Vulnerability score,,NEW Risk,Risk score
Naumule,0.82,1,1,0.36,0.32,2,0.28,0.51,3,0.41,0.54,3,0.3,0.72,4,0.03,0.65
Mahabu,0.64,0.62,2,0.37,0.34,2,0.26,0.46,3,0.58,1,5,0.24,0.48,3,0.04,0.69
Bhairabi,0.63,0.6,3,0.31,0.15,1,0.06,0,1,0.28,0.2,1,0.2,0.33,2,0,0
Thantikandh,0.79,0.93,1,0.44,0.58,3,0.23,0.39,2,0.21,0,1,0.35,0.92,5,0.02,0.29
Aathabis,0.66,0.64,2,0.56,1,5,0.5,1,5,0.27,0.18,1,0.37,1,5,0.05,1
Chamunda Bindrasaini ,0.74,0.83,1,0.35,0.28,2,0.23,0.4,2,0.41,0.54,3,0.26,0.58,3,0.02,0.46
Dullu,0.65,0.63,2,0.4,0.44,3,0.45,0.88,5,0.37,0.43,3,0.26,0.57,3,0.04,0.83
Narayan,0.35,0,5,0.33,0.19,1,0.37,0.69,4,0.41,0.56,3,0.11,0,1,0.02,0.3
Bhagawatimai,0.65,0.62,2,0.27,0,1,0.18,0.27,2,0.4,0.53,3,0.17,0.24,2,0.01,0.19
Dungeshwor,0.57,0.47,3,0.28,0.04,1,0.17,0.25,2,0.42,0.58,3,0.16,0.19,1,0.01,0.17
Gurans,0.64,0.61,2,0.37,0.34,2,0.17,0.26,2,0.47,0.7,4,0.24,0.48,3,0.02,0.33
